Time,Total Motor Energy
36.288,9833.517
36.312,9838.906
36.336,9844.325
36.360,9849.769
36.384,9855.265
36.408,9860.793
36.432,9866.344
36.456,9871.915
36.480,9877.504
36.504,9883.103
36.528,9888.713
36.552,9894.317
36.576,9899.929
36.600,9905.541
36.624,9911.145
36.648,9916.727
36.672,9922.285
36.696,9927.813
36.720,9933.320
36.744,9938.789
36.768,9944.212
36.792,9949.570
36.816,9954.860
36.840,9960.072
36.864,9965.164
36.888,9970.171
36.912,9975.085
36.936,9979.900
36.960,9984.607
36.984,9989.198
37.008,9993.641
37.032,9997.967
37.056,10002.181
37.080,10006.274
37.104,10010.244
37.128,10014.116
37.152,10017.877
37.176,10021.521
37.200,10025.051
37.224,10028.432
37.248,10031.700
37.272,10034.920
37.296,10037.939
37.320,10040.534
37.344,10042.979
37.368,10045.137
37.392,10046.468
37.416,10047.326
37.440,10047.654
37.464,10047.654
37.488,10047.654
37.512,10054.301
37.536,10067.287
37.560,10082.320
37.584,10099.502
37.608,10118.044
37.632,10137.407
37.656,10157.530
37.680,10177.719
37.704,10197.900
37.728,10218.158
37.752,10238.404
37.776,10258.716
37.800,10279.094
37.824,10299.522
37.848,10319.997
37.872,10340.582
37.896,10361.196
37.920,10381.828
37.944,10402.471
37.968,10423.064
37.992,10443.634
38.016,10464.167
38.040,10484.631
38.064,10504.978
38.088,10525.235
38.112,10545.360
38.136,10565.329
38.160,10585.116
38.184,10604.710
38.208,10624.087
38.232,10643.243
38.256,10662.125
38.280,10680.742
38.304,10699.224
38.328,10717.384
38.352,10735.244
38.376,10752.835
38.400,10770.500
38.424,10788.477
38.448,10806.853
38.472,10825.644
38.496,10844.792
38.520,10864.331
38.544,10884.424
38.568,10914.604
38.592,10967.502
38.616,11049.285
38.640,11150.653
38.664,11247.091
38.688,11322.633
38.712,11377.107
38.736,11423.464
38.760,11465.829
38.784,11507.097
38.808,11546.663
38.832,11584.603
38.856,11619.978
38.880,11653.700
38.904,11678.119
38.928,11678.119
38.952,11678.119
38.976,11678.119
39.000,11678.119
39.024,11678.119
39.048,11678.119
39.072,11678.119
39.096,11678.132
39.120,11696.123
39.144,11736.268
39.168,11754.910
39.192,11754.910
39.216,11754.910
39.240,11754.910
39.264,11763.167
39.288,11788.741
39.312,11826.903
39.336,11843.487
39.360,11843.487
39.384,11843.487
39.408,11843.487
39.432,11843.487
39.456,11854.226
39.480,11881.769
39.504,11925.674
39.528,11968.994
39.552,11968.994
39.576,11968.994
39.600,11968.994
39.624,11968.994
39.648,11969.617
39.672,11979.625
39.696,11999.448
39.720,12033.822
39.744,12087.432
39.768,12153.972
39.792,12205.472
39.816,12243.961
39.840,12273.324
39.864,12301.013
39.888,12327.758
39.912,12353.646
39.936,12378.746
39.960,12403.042
39.984,12426.546
40.008,12449.494
40.032,12469.567
40.056,12480.568
40.080,12480.568
40.104,12480.568
40.128,12480.568
40.152,12480.568
40.176,12481.712
40.200,12500.242
40.224,12545.098
40.248,12604.873
40.272,12656.708
40.296,12691.121
40.320,12719.925
40.344,12744.873
40.368,12769.410
40.392,12793.656
40.416,12817.697
40.440,12841.604
40.464,12865.134
40.488,12888.453
40.512,12911.837
40.536,12935.301
40.560,12959.248
40.584,12983.229
40.608,12998.084
40.632,12998.084
40.656,12998.084
40.680,12998.084
40.704,13005.913
40.728,13017.829
40.752,13031.266
40.776,13044.707
40.800,13058.172
40.824,13071.596
40.848,13084.948
40.872,13098.208
40.896,13111.375
40.920,13124.433
40.944,13137.391
40.968,13150.254
40.992,13163.036
41.016,13175.744
41.040,13188.407
41.064,13201.033
41.088,13213.649
41.112,13226.270
41.136,13238.919
41.160,13251.615
41.184,13264.369
41.208,13277.224
41.232,13290.199
41.256,13303.301
41.280,13316.545
41.304,13329.957
41.328,13343.538
41.352,13357.309
41.376,13371.265
41.400,13385.406
41.424,13399.719
41.448,13414.188
41.472,13428.777
41.496,13443.451
41.520,13458.154
41.544,13472.840
41.568,13487.436
41.592,13501.887
41.616,13516.140
41.640,13530.147
41.664,13543.870
41.688,13557.297
41.712,13570.400
41.736,13580.267
41.760,13580.997
41.784,13580.997
41.808,13581.564
41.832,13581.654
41.856,13583.205
41.880,13586.667
41.904,13596.350
41.928,13617.994
41.952,13646.302
41.976,13673.366
42.000,13682.022
42.024,13682.022
42.048,13682.022
42.072,13702.255
42.096,13740.839
42.120,13779.446
42.144,13802.160
42.168,13817.085
42.192,13820.558
42.216,13820.558
42.240,13820.558
42.264,13820.558
42.288,13829.132
42.312,13852.645
42.336,13895.533
42.360,13963.468
42.384,14045.717
42.408,14098.810
42.432,14117.372
42.456,14117.372
42.480,14117.372
42.504,14117.372
42.528,14117.372
42.552,14117.372
42.576,14117.372
42.600,14117.372
42.624,14119.316
42.648,14123.419
42.672,14129.445
42.696,14137.199
42.720,14146.754
42.744,14157.822
42.768,14170.402
42.792,14184.482
42.816,14199.921
42.840,14216.561
42.864,14234.305
42.888,14253.077
42.912,14272.806
